Time,Record Num,Azimuth,Pitch,Roll,AccelX,AccelY,AccelZ,AccelMag,InstantSpeed,StartQuit,Label
7/27/17 15:01,59,-2.8135068,1.1203556,2.9913545,-0.013033346,0.070781856,-0.04677698,0.085837201,0.002959903,,no label provided
7/27/17 15:01,60,-2.8103936,1.121219,2.9960837,-0.010426677,0.056625485,-0.037421584,0.068669761,0.002367923,,no label provided
7/27/17 15:01,61,-2.8103936,1.121219,2.9960837,-0.029410302,-0.086859372,0.125207133,0.155197753,0.005351647,,no label provided
7/27/17 15:01,62,-2.8003254,1.122474,2.9935021,-0.023528241,-0.069487498,0.100165706,0.124158202,0.004281317,,no label provided
7/27/17 15:01,63,-2.8003254,1.122474,2.9935021,0.050130367,-0.111135438,-0.017550235,0.123175282,0.004247424,,no label provided
7/27/17 15:01,64,-2.7982206,1.1204847,2.9935486,0.040104294,-0.088908351,-0.014040188,0.098540226,0.003397939,,no label provided
7/27/17 15:01,65,-2.7982206,1.1204847,2.9935486,0.122105435,-0.03665028,-0.13764655,0.187615439,0.006469498,,no label provided
7/27/17 15:01,66,-2.804166,1.1172659,2.9996297,0.097684348,-0.029320224,-0.11011724,0.150092352,0.005175598,,no label provided
7/27/17 15:01,67,-2.804166,1.1172659,2.9996297,0.049417078,-0.00238714,-0.147469792,0.155547696,0.005363714,,no label provided
7/27/17 15:01,68,-2.8113625,1.1122961,3.009649,0.039533663,-0.001909712,-0.117975834,0.124438157,0.004290971,,no label provided
7/27/17 15:01,69,-2.8113625,1.1122961,3.009649,0.02779621,-0.032173609,0.102901733,0.111339737,0.003839301,,no label provided
7/27/17 15:01,70,-2.8096845,1.1087048,3.0121818,0.022236968,-0.025738887,0.082321386,0.08907179,0.003071441,,no label provided
7/27/17 15:01,71,-2.8096845,1.1087048,3.0121818,-0.035840586,-0.00718351,-0.031826891,0.048467529,0.001671294,,no label provided
7/27/17 15:01,72,-2.8048856,1.1057495,3.0107949,-0.028672468,-0.005746808,-0.025461513,0.038774023,0.001337035,,no label provided
7/27/17 15:01,73,-2.8048856,1.1057495,3.0107949,-0.065075863,0.016471514,0.00644599,0.067436855,0.002325409,,no label provided
7/27/17 15:01,74,-2.8034902,1.1035467,3.0108714,-0.05206069,0.013177211,0.005156792,0.053949484,0.001860327,,no label provided
7/27/17 15:01,75,-2.8034902,1.1035467,3.0108714,-0.039733192,-0.020103991,0.101809433,0.111121815,0.003831787,,no label provided
7/27/17 15:01,76,-2.7995923,1.1015122,3.009108,-0.031786554,-0.016083193,0.081447547,0.088897452,0.003065429,,no label provided
7/27/17 15:01,77,-2.7995923,1.1015122,3.009108,0.083746325,-0.190995354,0.001950837,0.208558093,0.007191658,,no label provided
7/27/17 15:01,78,-2.7987926,1.0978298,3.0087783,0.06699706,-0.152796284,0.00156067,0.166846474,0.005753327,,no label provided
7/27/17 15:01,79,-2.7987926,1.0978298,3.0087783,0.239387704,-0.237158627,0.192784536,0.388222313,0.013386976,,no label provided
7/27/17 15:01,80,-2.803545,1.0947199,3.0172439,0.191510163,-0.189726901,0.154227629,0.310577851,0.010709581,,no label provided
7/27/17 15:01,81,-2.803545,1.0947199,3.0172439,-0.157080405,0.101046319,0.060175703,0.196228763,0.006766509,,no label provided
